"last_name, first_name",year,predicted_oaa,actual_oaa,difference
"Varsho, Daulton",2022,6.6311917,8,-1.3688082695007324
"Baddoo, Akil",2022,-0.5961286,1,-1.5961285829544067
"Kepler, Max",2022,0.3966465,2,-1.603353500366211
"Kwan, Steven",2023,3.3626556,5,-1.6373443603515625
"McCarthy, Jake",2023,0.09070587,2,-1.9092941284179688
"Meyers, Jake",2023,7.053839,9,-1.9461607933044434
"Carlson, Dylan",2022,-1.0247823,1,-2.0247822999954224
"Thomas, Alek",2022,0.9567185,3,-2.0432814955711365
"Isbel, Kyle",2022,7.931042,10,-2.068957805633545
"Gurriel Jr., Lourdes",2023,-1.0729588,1,-2.072958827018738
"Suzuki, Seiya",2022,-1.2208824,1,-2.2208824157714844
"Marsh, Brandon",2022,3.732119,6,-2.267880916595459
"Trout, Mike",2022,-0.31126118,2,-2.3112611770629883
"McCarthy, Jake",2022,-1.4001681,1,-2.4001680612564087
"Santander, Anthony",2022,-1.4370922,1,-2.4370921850204468
"Kepler, Max",2023,-0.718348,2,-2.7183480262756348
"Kiermaier, Kevin",2023,7.053839,10,-2.9461607933044434
"Gurriel Jr., Lourdes",2022,-2.984793,0,-2.984792947769165
"Verdugo, Alex",2022,-2.0814264,1,-3.0814263820648193
"Varsho, Daulton",2023,6.6311917,10,-3.3688082695007324
"Kwan, Steven",2022,4.419204,8,-3.5807957649230957
"Verdugo, Alex",2023,-1.7223159,2,-3.7223159074783325
"Taylor, Michael A.",2023,3.1974702,7,-3.802529811859131
"Hays, Austin",2022,-2.115054,2,-4.11505389213562
"Fairchild, Stuart",2023,-0.3925591,4,-4.392559111118317
"Doyle, Brenton",2023,4.1558247,9,-4.844175338745117
"Yelich, Christian",2022,-2.2920609,4,-6.292060852050781
"Siri, Jose",2023,7.687488,14,-6.312511920928955
"Rodríguez, Julio",2022,2.5137038,9,-6.4862961769104
"Robert Jr., Luis",2022,1.0964019,9,-7.903598070144653
